date,time,group,subject,build,sex_response,sex_latency,age_response,age_latency
120718,13:44:58,232,232,4.0.10.0,female,18479,18,18479
120718,14:46:06,220,220,4.0.10.0,female,10002,22,10002
120718,8:47:33,242,242,4.0.10.0,female,9800,21,9800
120718,13:47:54,223,223,4.0.10.0,female,26368,19,26368
120718,13:48:19,241,241,4.0.10.0,male,32492,19,32492
120718,13:50:54,236,236,4.0.10.0,female,6772,24,6772
120718,13:49:44,243,243,4.0.10.0,male,88192,23,88192
120718,13:52:29,253,253,4.0.10.0,male,12625,24,12625
120718,13:52:42,250,250,4.0.10.0,male,9674,22,9674
120718,14:52:49,244,244,4.0.10.0,female,62597,26,62597
120718,13:50:23,209,209,4.0.10.0,female,308661,24,308661
120718,13:57:23,252,252,4.0.10.0,female,14265,18,14265
120718,8:56:39,254,254,4.0.10.0,male,109754,26,109754
120718,14:00:20,264,264,4.0.10.0,male,28662,18,28662
120718,14:00:38,262,262,4.0.10.0,female,24666,24,24666
120718,14:01:42,263,263,4.0.10.0,female,11084,23,11084
120718,14:05:20,265,265,4.0.10.0,male,27637,19,27637
120718,9:15:03,266,266,4.0.10.0,male,7795,19,7795
120718,14:15:31,268,268,4.0.10.0,male,10925,26,10925
120718,14:23:33,269,269,4.0.10.0,female,118460,24,118460
120718,8:24:48,270,270,4.0.10.0,female,56004,24,56004
120718,8:28:13,272,272,4.0.10.0,female,13781,24,13781
120718,11:28:04,279,279,4.0.10.0,female,6377,23,6377
120718,18:29:44,276,276,4.0.10.0,male,13092,18,13092
120718,18:30:04,280,280,4.0.10.0,female,18875,21,18875
120718,18:35:06,274,274,4.0.10.0,female,16051,22,16051
