sessionID,bergmiteFamiliar,bergmiteValence,carbinkFamiliar,carbinkValence,cranidosFamiliar,cranidosValence,frillishFamiliar,frillishValence,golettFamiliar,golettValence,gourgeistFamiliar,gourgeistValence,grubbinFamiliar,grubbinValence,jangmoFamiliar,jangmoValence,magearnaFamiliar,magearnaValence,palpitoadFamiliar,palpitoadValence,phantumpFamiliar,phantumpValence,scatterbugFamiliar,scatterbugValence,scraggyFamiliar,scraggyValence,shelmetFamiliar,shelmetValence,sliggooFamiliar,sliggooValence,swadloonFamiliar,swadloonValence,wimpodFamiliar,wimpodValence,zoruaFamiliar,zoruaValence
11288106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,-1,0,0,0,0
11288107,0,1,0,2,0,-2,0,-1,0,1,0,1,0,-2,0,2,0,1,0,2,0,-1,0,0,0,0,0,0,0,1,0,-1,0,-1,0,1
11288128,0,0,0,0,1,0,0,0,0,0,0,-2,0,0,1,-1,0,0,1,0,0,-1,1,0,0,1,0,0,1,2,0,-1,0,-1,0,1
11288922,0,2,0,3,0,1,0,-2,0,0,0,0,0,-1,0,2,0,-1,0,0,0,2,0,-1,0,-3,0,-2,0,0,0,1,0,-3,0,-1
11293179,0,1,0,1,2,0,0,2,0,-1,0,-1,0,0,0,2,0,0,0,2,0,1,0,-2,0,1,0,-1,0,-2,0,-1,0,0,0,2
11293188,2,0,0,-2,8,4,5,-1,8,0,2,1,0,-2,0,2,4,3,8,-1,8,3,6,1,8,-1,8,2,6,0,8,1,1,-2,8,-4
11293251,0,2,0,0,0,2,0,-1,0,1,0,-3,0,-1,0,4,0,2,0,2,0,2,0,-1,0,2,0,-2,0,3,0,-1,0,-3,0,3
11297680,0,-1,0,3,0,3,0,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,2,0,-2,0,1,0,-1,0,-1,0,-1,0,-1,0,3
11297929,0,-1,1,-3,1,-1,1,0,1,-1,1,1,1,-1,1,-2,1,-1,1,-2,1,-1,1,-2,1,0,1,-2,1,-1,1,-2,1,-1,1,-2
11298650,0,1,0,1,0,1,0,0,0,0,0,0,0,-1,0,2,0,3,0,0,0,1,0,-1,0,1,0,2,0,0,0,1,0,-2,0,2
11298653,0,0,0,0,0,0,0,0,4,0,4,0,4,-2,4,0,4,-1,4,-1,4,1,1,-2,4,-1,5,1,4,-4,5,1,0,0,5,1
11298655,0,1,0,0,0,-1,0,0,0,1,0,-2,0,1,0,-2,0,-2,0,-1,0,-4,0,1,0,1,0,1,0,0,0,1,0,-2,0,-2
11299004,0,0,2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,-2,0,0,0,-2,1,3,0,1,1,0,1,0
11299005,0,-1,0,1,0,1,0,1,0,3,0,1,0,-2,0,-1,0,1,0,-2,0,2,0,-1,0,-2,0,0,0,-1,0,2,0,-2,0,3
11300202,0,0,0,1,0,0,0,2,0,-2,0,-2,0,0,0,-1,0,0,0,-1,0,2,0,-1,0,-1,0,1,0,2,0,0,0,-2,0,1
11300203,0,2,0,4,0,1,0,2,0,0,0,2,0,1,0,4,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4,0,0,0,3
11300204,0,1,0,3,2,2,0,1,0,3,0,-3,0,1,0,3,0,0,0,-1,0,1,0,-4,0,2,0,2,0,-4,1,3,0,-4,0,-2
11300756,0,2,0,3,8,0,0,2,0,-1,0,-2,0,0,0,1,0,0,0,-1,0,-1,0,-1,0,2,0,0,0,-1,0,2,0,-1,3,1
11300759,0,-1,0,-1,1,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,-1,0,0,0,0
11300761,0,-2,2,2,1,-2,1,-2,0,-2,0,-3,0,-3,1,4,0,-2,5,1,0,-2,0,2,2,1,0,-3,1,3,1,2,2,1,7,3
11300809,8,0,8,4,8,2,8,1,8,0,8,-2,8,0,6,0,6,0,8,0,8,-4,8,4,8,4,8,0,8,4,8,0,6,0,8,4
11300832,0,0,1,2,2,0,0,1,0,-1,0,-4,1,-3,0,1,0,3,0,3,0,-1,0,-1,1,0,1,0,0,-2,1,2,0,-3,1,2
11300839,0,2,0,3,0,-3,0,-1,0,0,0,-2,0,-4,0,1,0,-1,0,1,0,-3,0,1,0,2,0,-1,0,-1,1,2,0,-3,0,-1
11300913,5,0,0,0,0,0,0,1,4,0,0,0,5,0,0,0,0,0,0,0,0,-1,0,-1,1,-1,0,-1,0,0,0,0,0,0,0,0
11300921,0,-1,0,0,3,1,0,-2,0,-1,1,1,0,-1,0,0,0,0,0,1,0,-2,0,-2,2,0,0,-1,0,-1,0,-3,0,-3,0,1
11301164,0,3,0,0,0,4,0,2,0,4,0,-4,0,2,0,3,0,0,0,-4,0,0,0,-4,0,-4,0,3,0,-2,0,-4,0,4,0,0
11301165,0,0,0,-1,0,-1,0,0,0,1,0,1,0,-2,0,-1,0,-3,0,4,0,-3,0,-2,0,0,0,1,0,3,0,-3,0,-1,0,-1
11301287,0,1,0,0,0,-3,0,1,0,4,0,2,0,-1,0,2,0,1,0,2,0,1,0,2,0,2,0,2,0,2,0,1,0,-1,0,-3
11301290,5,2,6,1,7,2,6,2,7,2,5,2,2,0,1,2,4,0,3,-2,3,0,7,3,5,-1,4,-1,2,2,1,0,2,0,7,3
11302466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11302469,0,1,0,0,5,3,2,3,0,0,0,2,0,-2,0,3,6,1,0,4,0,0,0,1,0,-1,0,-3,0,-1,0,1,0,-2,0,3
11303499,8,-1,8,-2,8,3,8,-3,8,2,8,-1,8,3,8,2,8,0,8,-1,8,-1,8,1,8,4,8,1,8,1,8,4,8,4,8,4
11304471,0,0,0,2,0,-1,0,0,0,1,6,0,0,-4,0,0,0,-1,0,2,0,0,0,0,0,1,0,-4,0,-1,0,0,0,0,2,3
11304472,1,2,1,1,1,0,2,2,2,0,2,1,0,1,0,-1,0,0,1,3,2,3,2,2,3,3,2,2,0,2,2,-1,1,0,2,0
11304474,2,0,2,2,8,4,2,1,1,0,8,4,1,-2,0,1,2,1,2,0,2,2,0,-1,2,-1,2,-1,2,-1,2,1,2,-2,6,4
11304794,0,0,0,0,0,2,0,-2,0,1,0,4,0,2,0,1,0,0,0,3,0,-1,0,-2,0,-2,0,0,0,2,0,-3,0,-1,0,2
11304877,5,-3,4,2,2,-2,1,-3,4,2,5,-3,4,-3,5,2,1,-3,3,-1,4,1,3,-3,5,1,4,-3,4,-2,5,2,4,-3,4,-2
