"","name","mean_liking","sd_liking","like_d.es","n","name","mean_fami","sd_fami","fmi_d.es","n"
"41","Ribombee",1.72258064516129,1.73779784467976,0.991243400626228,"155","Ribombee",1.70322580645161,2.48155322524408,0.991243400626228,"155"
"42","Rowlet",2.40645161290323,1.65025292903432,1.45823199011767,"155","Rowlet",3.14838709677419,3.29066674723997,1.45823199011767,"155"
"43","Scatterbug",-0.290322580645161,1.83390769335143,0.158308175322937,"155","Scatterbug",1.72903225806452,2.59697545712829,0.158308175322937,"155"
"44","Scraggy",-0.0645161290322581,1.93289171482307,0.0333780358917642,"155","Scraggy",2.45806451612903,3.05201383308941,0.0333780358917642,"155"
"45","Shellos",1.61290322580645,1.77788396322084,0.907203877852913,"155","Shellos",2.41935483870968,3.03415827935541,0.907203877852913,"155"
"46","Shelmet",-0.0516129032258065,1.97317579204843,0.0261572757145096,"155","Shelmet",1.89677419354839,2.65842007944761,0.0261572757145096,"155"
"47","Sliggoojpg",0.432258064516129,2.00330685980174,0.215772267938477,"155","Sliggoojpg",1.71612903225806,2.59308480663695,0.215772267938477,"155"
"48","Snivy",1.50322580645161,1.87039197762904,0.80369560200806,"155","Snivy",3.12258064516129,3.28383582302922,0.80369560200806,"155"
"49","Spritzee",0.870967741935484,1.71967105514796,0.506473455681061,"155","Spritzee",1.50967741935484,2.34760928942307,0.506473455681061,"155"
"50","Stunfisk",-0.329032258064516,1.92761772567988,0.170693729198026,"155","Stunfisk",1.86451612903226,2.70659948474872,0.170693729198026,"155"
"51","Swadloon",0.290322580645161,1.87937452269757,0.154478299635799,"155","Swadloon",1.80645161290323,2.65578705088651,0.154478299635799,"155"
"52","Togedemaru",2.19354838709677,1.80222364163321,1.21713439798678,"155","Togedemaru",1.84516129032258,2.69954766649649,1.21713439798678,"155"
"53","Tympole",1.14838709677419,1.89597505458923,0.605697366109596,"155","Tympole",1.76129032258065,2.5687529719204,0.605697366109596,"155"
